ID,y
TEST_0000,84.47340062459308
TEST_0001,84.111962890625
TEST_0002,89.56529319302999
TEST_0003,86.2062452515111
TEST_0004,83.39506546020507
TEST_0005,83.76950965881348
TEST_0006,84.14462753295898
TEST_0007,83.76895965576172
TEST_0008,91.31507752703105
TEST_0009,84.20981452941895
TEST_0010,84.33700126647949
TEST_0011,83.81016983032227
TEST_0012,84.3346501159668
TEST_0013,85.51541221618652
TEST_0014,84.69085494995117
TEST_0015,90.64264475504557
TEST_0016,85.0939478865124
TEST_0017,83.15357208251953
TEST_0018,84.29375335693359
TEST_0019,90.60219221736857
TEST_0020,85.52738578542073
TEST_0021,85.2138623046875
TEST_0022,87.8582135157812
TEST_0023,85.7815786743164
TEST_0024,84.84454120635986
TEST_0025,84.83881950378418
TEST_0026,88.66859296835035
TEST_0027,84.05959777832031
TEST_0028,84.93643257141113
TEST_0029,84.7293896569146
TEST_0030,85.2945280456543
TEST_0031,84.08869621276855
TEST_0032,84.13374076843262
TEST_0033,84.13655059814454
TEST_0034,85.06355529785156
TEST_0035,84.36407238006592
TEST_0036,85.0915113067627
TEST_0037,90.85815111977989
TEST_0038,84.51249176025391
TEST_0039,84.17471454620362
TEST_0040,88.93007717366241
TEST_0041,84.3702728017171
TEST_0042,83.8258560180664
TEST_0043,84.61812316894532
TEST_0044,85.02871439234416
TEST_0045,83.73838005065917
TEST_0046,85.46426414489746
TEST_0047,85.43722427368164
TEST_0048,87.72688734997506
TEST_0049,84.5200676727295
TEST_0050,84.57205787658691
TEST_0051,83.8804445539202
TEST_0052,83.62204582214355
TEST_0053,85.21907432556152
TEST_0054,83.07586451212565
TEST_0055,84.03141944885255
TEST_0056,89.92768890620586
TEST_0057,91.20736113981768
TEST_0058,91.50915784551839
TEST_0059,84.34134666442871
TEST_0060,91.63157563009163
TEST_0061,84.70104766845704
TEST_0062,83.91597869873047
TEST_0063,91.61652870541526
TEST_0064,84.29845315933227
TEST_0065,91.5605393299224
TEST_0066,84.25156358337402
TEST_0067,90.55769109217324
TEST_0068,84.69569114685059
TEST_0069,83.99072784932454
TEST_0070,84.68012405395508
TEST_0071,84.86987241236369
TEST_0072,84.44566375732421
TEST_0073,84.21227851867675
TEST_0074,84.81795532226562
TEST_0075,85.08800262451172
TEST_0076,86.61269122244715
TEST_0077,83.8711164855957
TEST_0078,84.57689804077148
TEST_0079,83.51852108292353
TEST_0080,84.30011665344239
TEST_0081,84.59431378682456
TEST_0082,91.08233859097658
TEST_0083,83.11397880554199
TEST_0084,89.91214421717326
TEST_0085,90.85694497953142
TEST_0086,91.18723973245734
TEST_0087,85.1812133026123
TEST_0088,83.73973762512207
TEST_0089,83.86225280761718
TEST_0090,83.36879531860352
TEST_0091,85.2999806213379
TEST_0092,84.15938758850098
TEST_0093,84.1949405670166
TEST_0094,84.43607513427735
TEST_0095,84.63121639760335
TEST_0096,90.36333930817311
